query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
SPpaths cost,338792.3407700976,125391.66032188067,34822.401172531754,-141.58721730750358,6028.826760362475,476686.448,477131.528,0.059306
composite index eq,301582.333072354,109330.12519510782,33588.92221277274,-187.74031346746884,6347.6791241967585,435427.664,435470.68,0.052122
composite index range,326880.1770795643,118771.07706694219,42630.394797767374,-27.4347479661064,7616.51203804193,435427.84,435432.704,0.055934
fulltext score,334797.6143524327,125142.84350802103,41832.30264373142,6.031732693078229,7600.875092328077,476455.016,476449.544,0.058732
toJSON node,314097.2452148348,118419.00682891755,43581.81075263719,-29.5362593774884,5997.192919539973,435428.144,435759.536,0.056163
toJSON rel path,537642.3926673874,180269.78604338496,89199.07473829844,165.30836638776725,8470.642011155203,492872.72,492828.448,0.074627
chained arithmetic,636243.738934677,191569.86399025057,106924.66181327545,4.3556316292926205,6685.6258500762215,492958.992,492885.032,0.076972
multi-type traverse,197519600.23286143,42962363.47332746,42215390.98815537,19195.8121487388,882104.5194122765,66185513.568,66185489.936,11.813945
multi-label endpoints,934909.3637576065,257076.12214522544,170339.07335238683,369.5199862191642,9552.291508437305,451806.12,451802.376,0.103463
MSF multi-edge,757216.6892964984,281032.8766925379,147316.33771030753,919.521441082837,15948.059208896966,767915.44,768679.56,0.117645
typed index read,266538.9584787474,106583.28896031593,38294.63631143831,169.50827816887252,7310.051841513406,435594.464,435544.912,0.053394
correlated fulltext,69439861.46638931,14087712.590680381,15218786.84202273,18974.842289017863,159803.8218629787,537791.784,537594.592,3.959364
correlated vector,43051770.097716935,10693387.238764923,8548518.511890357,8380.763261654347,296134.37256642367,701824.816,701847.696,3.025539
correlated edge vector,37617361.17187449,8225854.790732985,7115906.767574257,-6869.431226399965,206575.5746384805,526272.568,526272.528,2.326348
correlated load csv,1386984.159998795,376374.129864774,158919.86933883,49.465018979196785,10498.216102124132,497001.056,497235.6,0.123738
correlated hash join,296509.8698484168,114283.28018315931,37555.19394941907,-117.4961346364526,6804.498342564224,533761.088,533727.28,0.053835
optional allShortest,345538.0138433058,121864.33110800308,41735.54552432743,-129.23625171138312,6269.691680034113,476384.384,476416.848,0.055571
optional varlen,286697.12098693865,106380.4505222198,29526.15673905152,-189.97993411212386,6438.816148137337,451802.144,451836.224,0.052177
optional path build,330624.03124098305,122090.36186213778,33790.393905404046,-171.70255990065343,6328.431777898064,476691.648,476600.176,0.056673
id eq join,8415584.27971537,1657219.2938848156,1813966.442264437,-3102.651873324899,-1067.365723317664,476386.368,476438.72,0.49582
temporal now fns,251951.60889805548,107298.76832995373,17997.1174474988,-309.7323335163109,2767.313680912871,492761.984,493001.896,0.065932
temporal maps 2,452510.4726571422,141175.81753675838,55341.41130161006,-141.81584422548454,3236.0377403249386,476385.2,476398.656,0.060889
temporal parse 2,668474.5169462907,178702.17721957705,93720.29190789236,-117.15182742435543,3167.665360756471,492767.744,492787.408,0.071462
shortestPath in CALL,3716815242.338923,715807434.6112788,1116078702.3695672,18588.557537162305,65110784.38382468,542518186.752,542502092.36,195.873646
map projection row,17324526.067138232,3698503.2918921937,3972948.966288398,2904.671206663996,52032.67690659601,654396.912,653077.472,1.159866
list comp row,24084430.21393444,5003511.7484200485,5629134.027618145,8826.22615506333,58418.267469227365,602225.216,602735.28,1.535878
agg in CALL,113718830.33614157,23595375.47456646,28931991.598202992,102586.9466957181,935066.734360575,1318180.56,1318654.4,6.716205
CASE projection,5136392.8144683,1236494.4748394706,1803077.5531578697,-696.7658705330231,32579.423256769478,473596.536,472539.16,0.577393
chained eq,5127179.105165347,1246409.3404267363,1952298.5659954122,1161.988072228697,42043.41930012519,472468.128,472584.36,0.585596
query params,347202.9731564009,133507.36414529593,51858.44402856544,-155.3030231559138,5829.454860406197,476394.984,477571.072,0.071315
IN mod filter,19064619.632804833,3962972.786970815,4162540.8205584595,-2777.997486200044,16001.505541861026,435583.088,435647.312,1.166672
edge IN index,376076.33554094704,139934.275352708,80859.86338917828,399.35680515251926,9135.059269097354,476423.304,476393.2,0.072964
IN on list prop,264632.99094453355,116273.24660357388,98126.19441247152,974.4418067324876,10639.469669403905,435417.824,435457.768,0.061102
ORDER BY agg,19427680.31858191,3907707.9733227342,4122537.2874952992,-5349.942047850899,20358.558967230965,451896.688,452055.88,1.145344
AND pattern filter,78441056.78075825,15337129.347901504,19055442.3310008,36902.499067370096,513563.17397822294,453918.976,454080.144,4.347464
cross product filter,1812308915.1982458,373568459.6305469,428508336.5914699,162750.64325877035,8858044.972926639,476453.712,476596.624,102.459303
