query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
labelPropagation iters,4712352.291218806,3685543.228621496,674835.6141055757,2992.454504321957,61549.822350792776,6379.28,5859.28,0.38111999999999996
MSF maximize,1651392.1495932802,490605.0865507546,197199.7560245758,-253.07535313905422,19954.507475944363,615192.16,617285.96,0.176805
SPpaths cost,391989.4752704821,146811.91965306198,10873.085849160083,-400.9437960458709,3558.1943862588487,2112.16,2274.48,0.056224
composite index eq,324345.63566333725,130725.07557125251,4873.238814120233,-312.5422529791498,2945.1922209825516,1559.784,1883.344,0.051617
composite index range,345130.3149972238,132611.16140795455,7167.550436371438,-372.7743775716458,2697.177937122674,1596.44,1602.44,0.052151
LOAD CSV set,1554207.3280553094,394442.4756289291,134238.88151450764,-775.1936137531393,7295.138328256255,12401.896,11665.776,0.120872
fulltext score,320920.07822447864,128634.46181294209,13918.35844466371,-146.99863525936067,5067.630604502508,1725.224,2469.728,0.051586
toJSON node,284179.8720377744,123468.70037668855,6105.921601283103,-148.16157395077917,3634.307488866276,1568.8,1729.272,0.049718
toJSON rel path,464325.4307589778,189914.10774392367,106225.04861067625,771.1330131966363,9355.502735450902,2375.8,2017.632,0.074041
toJSON scalars,260416.36559314636,111600.54964203417,-3536.2985200540274,-331.1554810968093,2337.431184679315,1533.32,1402.0,0.045323
chained arithmetic,950853.1538181799,268598.6880468376,97519.66338568743,-351.8014716357236,-451.0219589585611,1955.728,2440.736,0.089009
multi-type traverse,53312415.88147926,8972209.91428422,12820204.048398701,-671.0641187084541,659273.8959100693,4442810.56,4441044.424,2.525091
multi-label endpoints,804657.3464856362,252222.39761528358,118315.37711789395,-455.78021009391165,32778.69201562751,534171.128,536179.768,0.092784
MSF multi-edge,870851.7257797603,299006.68329653837,88909.11746861346,-23.904646078404475,12625.476618890603,350780.76,351674.68,0.10796
typed index read,276645.1124303129,119903.43818992101,-3598.818946052626,-306.2525201572541,3090.1718658958034,1663.128,1478.104,0.047818
correlated fulltext,621399.3389257638,194285.1534261651,64171.98079477383,-189.52971675150283,6713.034266463495,2665.92,2307.264,0.069336
correlated vector,591224.7074293605,191482.34824230795,35903.26225881991,-486.0861419462557,4718.262689234037,2335.776,2395.2,0.06859
correlated edge vector,590509.0895447667,188936.19119835945,37015.931104110576,-509.7045668439759,4656.856068427041,1990.696,2012.208,0.067313
correlated load csv,1446639.0389605355,362773.7888875995,122933.96217484563,-658.0860538741101,2906.6619161832127,12068.44,11732.552,0.113143
